"","property_name","address","lat","long","method","location"
"79","The Laurel","The Laurel, 800 W. Willis Road , chandler, AZ",33.284001403155,-111.854100651971,"arcgis","chandler"
"80","Mesa Art Space Lofts","Mesa Art Space Lofts, 155 S Hibbert , mesa, AZ",33.411580186204,-111.826213327316,"census","mesa"
"81","Mesa Ridge","Mesa Ridge, 650 S Country Club , mesa, AZ",33.402781378675,-111.840113972414,"census","mesa"
"82","Mesa Shadows","Mesa Shadows, 205 S Higley Rd , mesa, AZ",33.411872188968,-111.719069405924,"census","mesa"
"83","Mesa Summit Apts","Mesa Summit Apts, 505 S Roosevelt/450 S Valencia , mesa, AZ",33.406258538864,-111.881134447517,"census","mesa"
"84","Apache West MHP","Apache West MHP, 1035 W Main St | 50, 52 and 54 E Ingram | 743 E Pepper , mesa, AZ",33.414771120723,-111.853663535721,"arcgis","mesa"
"85","Alma Gardens MHP","Alma Gardens MHP, 530 S Alma School Rd , mesa, AZ",33.404857340923,-111.857128530674,"arcgis","mesa"
"86","Alma Meadows MHP","Alma Meadows MHP, 535 S Alma School Rd , mesa, AZ",33.404867315388,-111.856575492703,"arcgis","mesa"
"87","Arbor on Broadway Apts","Arbor on Broadway Apts, 660 E Broadway Rd , mesa, AZ",33.407993597634,-111.816359288905,"arcgis","mesa"
"88","Arizona Springs","Arizona Springs, 45 N Lyn Rae , mesa, AZ",33.416686762784,-111.773669166385,"arcgis","mesa"
"89","Aspen Ridge","Aspen Ridge, 820 E Brown Rd , mesa, AZ",33.43564289782,-111.813373654994,"arcgis","mesa"
"90","Aspenwood","Aspenwood, 245 S 56th St , mesa, AZ",33.410646,-111.708516,"arcgis","mesa"
"91","Aspire Mesa","Aspire Mesa, 1248 S Vineyard , mesa, AZ",33.391925782613,-111.842891868131,"arcgis","mesa"
"92","Aventerra Apts","Aventerra Apts, 1960 W Keating , mesa, AZ",33.367830074098,-111.876260559948,"arcgis","mesa"
"93","Avenue 8 Apts","Avenue 8 Apts, 1050 W 8th Ave , mesa, AZ",33.400557466503,-111.854353366352,"arcgis","mesa"
"94","Avia266 Apts","Avia266 Apts, 2354 W University , mesa, AZ",33.422394796937,-111.882206095328,"arcgis","mesa"
"95","Avilla Lehi","Avilla Lehi, 3425 E Thomas Rd , mesa, AZ",33.480669224393,-111.756528342029,"arcgis","mesa"
"96","Be Mesa Apts","Be Mesa Apts, 510 S Extension Rd , mesa, AZ",33.40551636806,-111.848597261984,"arcgis","mesa"
