"geoid","location","year","number_of_months_missing","number_of_reporting_agencies","assault_total","burglary_total","index_total","robbery_total","outlier","median_income","median_rent","percent_poverty_150","number_rental_units","avg_edu","pop_asian","pop_black","pop_female","pop_immigrant","pop_latin_hispanic","pop_male","pop_native_american","pop_other","pop_owners","pop_pacific_islander","pop_tenants","pop_white","total_population","renter_asian","renter_black","renter_hispanic_latin","renter_household_total","renter_multiple_race","renter_native_american","renter_other","renter_pacific_islander","renter_white","renter_white_alone","cpi_rent","cpi_all","median_rent_adj","median_income_adj","implementation_date","treated","post_treat"
405770,"Benson",2011,12,1,0,0,0,0,TRUE,36278,647,0.298015873015873,2275,14.1297138272265,0.0333857030636292,0.0243519245875884,0.480557737627651,0.0697172034564022,0.218381775333857,0.519442262372349,0.0166928515318146,0.0520424194815397,0.305970149253731,0.0196386488609584,0.324823252160251,0.920659858601728,5092,0,0,0.0948396094839609,717,0.0781032078103208,0,0.0334728033472803,0,0.888423988842399,0.849372384937239,0.626364446695859,0.651701758299806,405.257797012221,23642.4363876004,NA,FALSE,0
405770,"Benson",2012,0,1,5.09703979611841,9.80199960792002,56.8515977259361,0,TRUE,32044,653,0.342110473173629,2312,13.7757667864051,0.032346598706136,0.0221525191138992,0.4877475004901,0.0717506371299745,0.26837874926485,0.5122524995099,0.016663399333464,0.0552832777886689,0.326406586943737,0.0250931189962752,0.318172907273084,0.917467163301314,5101,0,0,0.106646058732612,647,0.0834621329211747,0.0108191653786708,0.0417310664605873,0,0.863987635239567,0.823802163833076,0.643190796042922,0.665789696368266,420.003589816028,21334.5650304247,NA,FALSE,0
405770,"Benson",2013,1,1,6.7246835443038,10.2848101265823,49.4462025316456,0.395569620253165,TRUE,31111,570,0.42711661341853,2382,13.9440207028058,0.0298655063291139,0.0199762658227848,0.500988924050633,0.055379746835443,0.270965189873418,0.499011075949367,0.0348101265822785,0.0842563291139241,0.324367088607595,0.0267009493670886,0.35878164556962,0.875988924050633,5056,0,0,0.204851752021563,742,0.0808625336927224,0.0296495956873315,0.0700808625336927,0,0.819407008086253,0.723719676549865,0.661675669620025,0.682672656732799,377.155131683414,21238.6290236141,NA,FALSE,0
405770,"Benson",2014,12,1,0,0,0,0,TRUE,36184,606,0.378356872886413,2374,14.1851228978008,0.0356650246305419,0.00295566502463054,0.532807881773399,0.049064039408867,0.231330049261084,0.467192118226601,0.0319211822660099,0.0650246305418719,0.320394088669951,0,0.366699507389163,0.917832512315271,5075,0,0,0.225935828877005,748,0.0574866310160428,0.0320855614973262,0.0561497326203209,0,0.85427807486631,0.70855614973262,0.684047481040219,0.70259424225407,414.532773510372,25422.6700617213,NA,FALSE,0
405770,"Benson",2015,12,1,0,0,0,0,TRUE,32010,673,0.397864625302176,2411,14.3002600780234,0,0.00478755236385398,0.566527029722721,0.0351087173349292,0.20785956513066,0.433472970277279,0.0225413923798125,0.0440853780171554,0.338320367045681,0,0.340913624576102,0.941352483542789,5013,0,0,0.212587412587413,715,0,0.0251748251748252,0.0447552447552448,0,0.93006993006993,0.779020979020979,0.709205418332903,0.725113403542242,477.295246538044,23210.8800473872,NA,FALSE,0
405770,"Benson",2016,12,1,0,0,0,0,TRUE,30010,637,0.438172588832487,2445,14.0033907146583,0.00201045436268597,0.00844390832328106,0.556091676718938,0.0217129071170084,0.2464817048653,0.443908323281062,0.0369923602734218,0.0434258142340169,0.338962605548854,0,0.356252513067953,0.919581825492561,4974,0,0.0210803689064559,0.241106719367589,759,0,0.0276679841897233,0.0342555994729908,0,0.91699604743083,0.727272727272727,0.73728830070676,0.751491746991505,469.652647550206,22552.2673272151,NA,FALSE,0
405770,"Benson",2017,0,1,0,0,0,0,TRUE,31844,641,0.424286007807684,2367,14.3123011664899,0.0016273393002441,0.0132221318144833,0.563262815296989,0.0183075671277461,0.234540276647681,0.436737184703011,0.032546786004882,0.0366151342554923,0.333604556550041,0,0.346623270951993,0.926973148901546,4916,0,0.0123796423658872,0.240715268225585,727,0,0.0110041265474553,0.0330123796423659,0,0.943603851444292,0.746905089408528,0.764489559334252,0.775498167850064,490.037807533256,24694.9636570174,NA,FALSE,0
405770,"Benson",2018,0,1,0,0,0,0,TRUE,31132,717,0.410548086866598,2236,14.106089055794,0.0231367731367731,0.0137182637182637,0.539312039312039,0.0227272727272727,0.21949221949222,0.460687960687961,0.0196560196560197,0.0174037674037674,0.305282555282555,0,0.353808353808354,0.944103194103194,4884,0,0.00805369127516779,0.224161073825503,745,0,0,0.0161073825503356,0,0.975838926174497,0.767785234899329,0.791062478385606,0.800381559007023,567.191797002479,24917.4786950067,NA,FALSE,0
405770,"Benson",2019,0,1,0,0,0,0,TRUE,32783,727,0.375025885276455,2312,13.9125697581717,0.0235752357523575,0.028290282902829,0.518655186551865,0.0170151701517015,0.289257892578926,0.481344813448134,0.030750307503075,0.0207052070520705,0.343173431734317,0,0.291717917179172,0.935014350143501,4878,0,0.0125391849529781,0.24294670846395,638,0,0,0.0188087774294671,0,0.968652037617555,0.744514106583072,0.820224253907639,0.826318853066447,596.303032590853,27089.2109600773,NA,FALSE,0
405770,"Benson",2020,0,1,0,0,0,0,TRUE,42120,674,0.304303067737286,2321,14.3003282275711,0.0595017500514721,0.0304714844554252,0.50236771669755,0.0294420424130121,0.215771052089767,0.49763228330245,0.0269713815112209,0.0337656989911468,0.334156886967264,0,0.316862260654725,0.936174593370393,4857,0,0.0171919770773639,0.24785100286533,698,0.0372492836676218,0,0.0573065902578797,0,0.888252148997135,0.697707736389685,0.838894219762984,0.841440180112263,565.414704120251,35441.4603863285,NA,FALSE,0
