"block_geoid","evict_count"
40131167123,5
40131125171,8
40131167254,39
40134206031,11
40134205061,102
40130304022,11
40133197063,124
40130610291,22
40131090031,44
40130924012,26
40136147001,60
40130927052,28
40131132041,32
40138155022,42
40134214004,58
40130923122,14
40134202021,2
40130719037,12
40134210022,36
40136170024,5
40131054003,80
40130927171,148
40134215012,20
40131090022,49
40134204013,24
40130931042,19
40131068012,69
40131042224,67
40133200024,6
40134212022,26
40130718011,13
40131125141,72
40132172012,66
40132175023,23
40130506192,31
40130610362,18
40130610262,7
40132168162,19
40130932001,59
40131036043,96
40130405392,17
40130405401,19
40131045012,95
40130610601,48
40132176002,15
40130405273,10
40131060022,86
40130610621,7
40136189003,3
40131117001,14
40131036081,59
40130612004,60
40136152012,151
40134212011,17
40134205031,115
40130822122,24
40131055031,164
40134222192,3
40131094012,182
40133190022,4
40130506194,3
40131105013,81
40130923111,46
40136191001,301
40131122011,5
40134201144,3
40130610382,15
40131044022,152
40131056023,120
40130610454,46
40135230021,14
40132168372,17
40138152031,4
40132182003,52
40130610341,26
40131162033,13
40131118001,50
40131073002,19
40132168061,20
40131042161,131
40134208001,105
40134216023,30
40131125101,9
40131152002,79
40134220021,13
40136182002,49
40134222033,162
40130719061,27
40130927241,17
40133198022,197
40130927204,210
40131158011,73
40134216022,8
40134223042,35
40134226302,18
40133199061,24
40131105011,50
40133191032,13
40134201122,8
40131093002,7
40131164004,8
40130927191,304
40130715172,7
40131090032,136
40136161002,2
40136122001,55
40133198011,162
40130610452,4
40130610471,9
40132168302,35
40136175004,6
40131109022,52
40131063003,52
40131086022,87
40131166212,24
40135230081,26
40134223074,214
40131138002,48
40131162032,133
40131162031,98
40135230064,43
40131113003,80
40131089024,13
40135231041,104
40131042021,7
40134208002,22
40131106001,46
40131099002,113
40131115023,27
40130931043,79
40131089012,30
40138112002,46
40131090034,34
40130930011,63
40131161002,13
40136197003,27
40131130001,47
40131143011,8
40131133012,25
40131136013,231
40131032174,30
40131098011,156
40130927182,162
40132168371,30
40134222092,162
40131141001,246
40132168523,40
40131077003,36
40131130002,51
40130929002,96
40133193001,3
40138106004,20
40133199031,69
40134225082,37
40130923123,78
40134226332,21
40130931014,44
40130923073,12
40131167383,5
40131167091,297
40131135031,19
40134221051,3
40130610112,16
40136177002,68
40130820191,16
40130927203,40
40133189002,11
40134213033,97
40136107004,4
40131042223,5
40132173004,30
40131063001,30
40131171001,127
40131042272,8
40133198013,12
40134221022,14
40131125242,246
40131060031,52
40138148011,17
40134226233,25
40134215021,28
40131125102,83
40133194034,29
40134209022,11
40131036093,205
40131112041,82
40131108013,75
40133192021,141
40136199002,44
40131095003,11
40131042243,48
40136190003,51
40133197051,39
40130931054,7
40133191033,48
40136186002,70
40131076013,62
40131042251,27
40131084003,35
40131035024,6
40131167092,78
40131125241,163
40131124012,10
40134212023,21
40131090033,101
40136113005,42
40131068023,28
40131086012,68
40130506174,6
40134204012,30
40131042033,117
40134213041,106
40136168003,4
40134213031,42
40131156002,121
40130926001,32
40134212012,169
40131132011,17
40131032105,61
40131057022,35
40130715092,58
40136164002,19
40131034002,8
40134222121,3
40131039003,41
40134209012,60
40131069002,6
40131112012,78
40130610421,25
40132175022,11
40134225133,2
40136158002,11
40133192022,80
40131145001,9
40131125152,17
40131167083,46
40134226321,4
40131162052,3
40131160001,9
40131041001,87
40131167172,62
40131125212,249
40130610401,22
40133199022,8
40131107021,93
40131114011,11
40130716001,69
40132180002,64
40131116021,36
40131042052,93
40134202022,4
40138100001,102
40131060011,39
40132168351,21
40131167203,111
40138105002,40
40136170023,54
40134222211,71
40133194021,14
40134225023,16
40138146002,81
40131036111,51
40130927231,101
40131037023,86
40134226072,6
40130610351,8
40134226282,40
40138148022,8
40136195003,38
40130719093,22
40130610533,9
40131042035,80
40130715161,215
40130931011,63
40131065012,29
40131133011,32
40134221071,184
